countrycode,continentcode
AFG,SOASIA
AFRICA,SUSAAF_G
ALA,HIGHIN
ALB,CEEAEU
DZA,CANAME
Americas,G
ASM,ESEASP
ANR,CALACA_G
AND,HIGHIN
AGO,SUSAAF
AIA,CALACA
ATA,MINOR
ATG,CALACA
ARB,CANAME_G
ARG,SOTRLA
ARM,CANAME
ABW,CALACA
Ashm,MINOR
ASIA,G
AUS,HIGHIN
Australia and New Zealand,HIGHIN_G
AUT,HIGHIN
AZE,CANAME
BHS,CALACA
BHR,CANAME
BGD,SOASIA
BRB,CALACA
BLR,CEEAEU
BEL,HIGHIN
BLZ,CALACA
BEN,SUSAAF
BMU,CALACA
BTN,SOASIA
BOL,CALACA
BIH,CEEAEU
BWA,SUSAAF
IOT,MINOR
BRA,SOTRLA
VGB,CALACA
BRN,HIGHIN
BGR,CEEAEU
BFA,SUSAAF
BDI,SUSAAF
CPV,SUSAAF
KHM,ESEASP
CMR,SUSAAF
CAN,HIGHIN
CSS,CALACA_G
CYM,CALACA
CAF,SUSAAF
Central America,CALACA_G
Central Asia,CANAME_G
CEB,CEEAEU_G
TCD,SUSAAF
CHI,HIGHIN
CHL,SOTRLA
CHN,CHINAR_G
HKG,CHINAR
MAC,CHINAR
CHN,CHINAR
TWN,CHINAR
COL,CALACA
COM,SUSAAF
COG,SUSAAF
COD,SUSAAF
COK,ESEASP
CRI,CALACA
CIV,SUSAAF
HRV,CEEAEU
CUB,CALACA
CUW,CALACA
CYP,HIGHIN
CZE,CEEAEU
PRK,ESEASP
DNK,HIGHIN
DJI,SUSAAF
DMA,CALACA
DOM,CALACA
TLS,ESEASP
EAS,ESEASP_G
EAP,ESEASP_G
CEA,ESEASP_G
Eastern Africa,G
Eastern Europe,CEEAEU_G
ECU,CALACA
EGY,CANAME
SLV,CALACA
GNQ,SUSAAF
ERI,SUSAAF
EST,CEEAEU
ETH,SUSAAF
Europe,HIGHIN_G
EMU,HIGHIN_G
EUU,HIGHIN_G
ECS,G
ECA,G
CEU,G
FLK,MINOR
FRO,MINOR
FJI,ESEASP
FIN,HIGHIN
FCS,G
FRA,HIGHIN
GUF,CALACA
PYF,ESEASP
ATF,MINOR
GAB,SUSAAF
GMB,SUSAAF
Gaza,CANAME
GEO,CANAME
DEU,HIGHIN
GHA,SUSAAF
GRC,HIGHIN
GRL,HIGHIN
GRD,CALACA
Guadeloupe,CALACA
GUM,ESEASP
GTM,CALACA
GGY,MINOR
GIN,SUSAAF
GNB,SUSAAF
GUY,CALACA
HTI,CALACA
HMD,MINOR
HPC,G
HIC,HIGHIN_G
NOC,HIGHIN_G
OEC,HIGHIN_G
HND,CALACA
HUN,CEEAEU
ISL,HIGHIN
IND,IND
IOA,MINOR
IDN,ESEASP
IRN,CANAME
IRQ,CANAME
IRL,HIGHIN
IMN,MINOR
ISR,HIGHIN
ITA,HIGHIN
JAM,CALACA
JPN,HIGHIN
JEY,MINOR
JOR,CANAME
KAZ,CANAME
KEN,SUSAAF
KIR,ESEASP
KOS,CEEAEU
KWT,CANAME
KGZ,CANAME
LLDC,G
LAO,ESEASP
LCN,CALACA_G
LAC,CALACA_G
LCR,CALACA_G
CLA,CALACA_G
LVA,CEEAEU
LDC,G
LBN,CANAME
LSO,SUSAAF
LeDeR,G
LeDeREC,G
LeDeRELDR,G
LBR,SUSAAF
LBY,CANAME
LIE,HIGHIN
LTU,CEEAEU
LIFDC,G
LMY,G
LIC,G
LMC,G
LUX,HIGHIN
MKD,CEEAEU
