order,Location,countrycode
1,Afghanistan,AFG
2,AFRICA,AFRICA
3,Albania,ALB
4,Algeria,DZA
5,Angola,AGO
6,Antigua and Barbuda,ATG
7,Argentina,ARG
8,Armenia,ARM
9,Aruba,ABW
10,ASIA,ASIA
11,Australia,AUS
12,Australia/New Zealand,Australia and New Zealand
13,Austria,AUT
14,Azerbaijan,AZE
15,Bahamas,BHS
16,Bahrain,BHR
17,Bangladesh,BGD
18,Barbados,BRB
19,Belarus,BLR
20,Belgium,BEL
21,Belize,BLZ
22,Benin,BEN
23,Bhutan,BTN
24,Bolivia (Plurinational State of),BOL
25,Bosnia and Herzegovina,BIH
26,Botswana,BWA
27,Brazil,BRA
28,Brunei Darussalam,BRN
29,Bulgaria,BGR
30,Burkina Faso,BFA
31,Burundi,BDI
32,Cambodia,KHM
33,Cameroon,CMR
34,Canada,CAN
35,Cape Verde,CPV
36,Caribbean,CSS
37,Central African Republic,CAF
38,Central America,Central America
39,Central Asia,Central Asia
40,Chad,TCD
41,Channel Islands,CHI
42,Chile,CHL
43,China,CHN
44,"China, Hong Kong SAR",HKG
45,"China, Macao SAR",MAC
46,Colombia,COL
47,Comoros,COM
48,Congo,COG
49,Costa Rica,CRI
50,Côte d'Ivoire,CIV
51,Croatia,HRV
52,Cuba,CUB
53,Curaçao,CUW
54,Cyprus,CYP
55,Czech Republic,CZE
56,Dem. People's Republic of Korea,PRK
57,Democratic Republic of the Congo,COD
58,Denmark,DNK
59,Djibouti,DJI
60,Dominican Republic,DOM
61,Eastern Africa,Eastern Africa
62,Eastern Asia,EAS
63,Eastern Europe,Eastern Europe
64,Ecuador,ECU
65,Egypt,EGY
66,El Salvador,SLV
67,Equatorial Guinea,GNQ
68,Eritrea,ERI
69,Estonia,EST
70,Ethiopia,ETH
71,EUROPE,Europe
72,Fiji,FJI
73,Finland,FIN
74,France,FRA
75,French Guiana,GUF
76,French Polynesia,PYF
77,Gabon,GAB
78,Gambia,GMB
79,Georgia,GEO
80,Germany,DEU
81,Ghana,GHA
82,Greece,GRC
83,Grenada,GRD
84,Guadeloupe,Guadeloupe
85,Guam,GUM
86,Guatemala,GTM
87,Guinea,GIN
88,Guinea-Bissau,GNB
89,Guyana,GUY
90,Haiti,HTI
91,Honduras,HND
92,Hungary,HUN
93,Iceland,ISL
94,India,IND
95,Indonesia,IDN
96,Iran (Islamic Republic of),IRN
97,Iraq,IRQ
98,Ireland,IRL
99,Israel,ISR
100,Italy,ITA
101,Jamaica,JAM
102,Japan,JPN
103,Jordan,JOR
104,Kazakhstan,KAZ
105,Kenya,KEN
106,Kiribati,KIR
107,Kuwait,KWT
108,Kyrgyzstan,KGZ
109,Lao People's Democratic Republic,LAO
110,LATIN AMERICA AND THE CARIBBEAN,LCR
111,Latvia,LVA
112,Least developed countries,LDC
113,Lebanon,LBN
114,Lesotho,LSO
115,Less developed regions,LeDeR
116,"Less developed regions, excluding China",LeDeREC
117,"Less developed regions, excluding least developed countries",LeDeRELDR
118,Liberia,LBR
119,Libya,LBY
120,Lithuania,LTU
121,Luxembourg,LUX
122,Madagascar,MDG
123,Malawi,MWI
124,Malaysia,MYS
125,Maldives,MDV
126,Mali,MLI
127,Malta,MLT
128,Martinique,Martinique
129,Mauritania,MRT
130,Mauritius,MUS
131,Mayotte,Mayotte
132,Melanesia,Melanesia
133,Mexico,MEX
134,Micronesia,Micronesia
135,Micronesia (Fed. States of),FSM
136,Middle Africa,MAFR
137,Mongolia,MNG
138,Montenegro,MNE
139,More developed regions,MoDeR
140,Morocco,MAR
141,Mozambique,MOZ
142,Myanmar,MMR
143,Namibia,NAM
144,Nepal,NPL
145,Netherlands,NLD
146,New Caledonia,NCL
147,New Zealand,NZL
148,Nicaragua,NIC
149,Niger,NER
150,Nigeria,NGA
151,Northern Africa,NAFR
152,NORTHERN AMERICA,NAC
153,Northern Europe,NEUR
154,Norway,NOR
155,OCEANIA,Oceania
156,Oman,OMN
157,Other non-specified areas,OSS
158,Pakistan,PAK
159,Panama,PAN
160,Papua New Guinea,PNG
161,Paraguay,PRY
162,Peru,PER
163,Philippines,PHL
164,Poland,POL
165,Polynesia,POLYN
166,Portugal,PRT
167,Puerto Rico,PRI
168,Qatar,QAT
169,Republic of Korea,KOR
170,Republic of Moldova,MDA
171,Réunion,
172,Romania,ROU
173,Russian Federation,RUS
174,Rwanda,RWA
175,Saint Lucia,LCA
176,Saint Vincent and the Grenadines,VCT
177,Samoa,WSM
178,Sao Tome and Principe,STP
179,Saudi Arabia,SAU
180,Senegal,SEN
181,Serbia,SRB
182,Seychelles,SYC
183,Sierra Leone,SLE
184,Singapore,SGP
185,Slovakia,SVK
186,Slovenia,SVN
187,Solomon Islands,SLB
188,Somalia,SOM
189,South-Central Asia,SouCeAs
190,South-Eastern Asia,SouEAs
191,South Africa,ZAF
192,South America,SouAm
193,South Sudan,SSD
194,Southern Africa,SouAfr
195,Southern Asia,SouAs
196,Southern Europe,SouEur
197,Spain,ESP
198,Sri Lanka,LKA
199,State of Palestine,PSE
200,Sub-Saharan Africa,SSF
201,Sudan,SDN
202,Suriname,SUR
203,Swaziland,SWZ
204,Sweden,SWE
205,Switzerland,CHE
206,Syrian Arab Republic,SYR
207,Tajikistan,TJK
208,TFYR Macedonia,MKD
209,Thailand,THA
210,Timor-Leste,TLS
211,Togo,TGO
212,Tonga,TON
213,Trinidad and Tobago,TTO
214,Tunisia,TUN
215,Turkey,TUR
216,Turkmenistan,TKM
217,Uganda,UGA
218,Ukraine,UKR
219,United Arab Emirates,ARE
220,United Kingdom,GBR
221,United Republic of Tanzania,TZA
222,United States of America,USA
223,United States Virgin Islands,VIR
224,Uruguay,URY
225,Uzbekistan,UZB
226,Vanuatu,VUT
227,Venezuela (Bolivarian Republic of),VEN
228,Viet Nam,VNM
229,Western Africa,WeAf
230,Western Asia,WeAs
231,Western Europe,WeEu
232,Western Sahara,ESH
233,WORLD,WLD
234,Yemen,YEM
235,Zambia,ZMB
236,Zimbabwe,ZWE
237,,FrePol
238,,KAS
239,,StKiN
240,,
241,,
242,,
243,,
244,,
,,ALA
,,Americas
,,ASM
,,ANR
,,AND
,,AIA
,,ATA
,,ARB
,,Ashm
,,BMU
,,IOT
,,VGB
,,CYM
,,CEB
,,CHN
,,TWN
,,COK
,,DMA
,,EAP
,,CEA
,,EMU
,,EUU
,,ECS
,,ECA
,,CEU
,,EUU
,,FLK
,,FRO
,,FCS
,,ATF
,,Gaza
,,GRL
,,GGY
,,HMD
,,HPC
,,HIC
,,NOC
,,OEC
,,IOA
,,IMN
,,JEY
,,KOS
,,LLDC
,,LCN
,,LAC
,,CLA
,,LIE
,,LIFDC
,,LMY
,,LIC
,,LMC
,,MHL
,,MCA
,,MEA
,,MNA
,,CME
,,MIC
,,MCO
,,MSR
,,CYN
,,MNP
,,NRU
,,NeFoIC
,,ANT
,,NIU
,,NFK
,,INX
,,OED
