order,WBD,countrycode
1,Afghanistan,AFG
2,Albania,ALB
3,Algeria,DZA
4,American_Samoa,ASM
5,Andorra,AND
6,Angola,AGO
7,Antigua_and_Barbuda,ATG
8,Argentina,ARG
9,Armenia,ARM
10,Aruba,ABW
11,Australia,AUS
12,Austria,AUT
13,Azerbaijan,AZE
14,"Bahamas,_The",BHS
15,Bahrain,BHR
16,Bangladesh,BGD
17,Barbados,BRB
18,Belarus,BLR
19,Belgium,BEL
20,Belize,BLZ
21,Benin,BEN
22,Bermuda,BMU
23,Bhutan,BTN
24,Bolivia,BOL
25,Bosnia_and_Herzegovina,BIH
26,Botswana,BWA
27,Brazil,BRA
28,Brunei_Darussalam,BRN
29,Bulgaria,BGR
30,Burkina_Faso,BFA
31,Burundi,BDI
32,Cambodia,KHM
33,Cameroon,CMR
34,Canada,CAN
35,Cabo_Verde,CPV
36,Cayman_Islands,CYM
37,Central_African_Republic,CAF
38,Chad,TCD
39,Channel_Islands,CHI
40,Chile,CHL
41,China,CHN
42,Colombia,COL
43,Comoros,COM
44,"Congo,_Dem._Rep.",COD
45,"Congo,_Rep.",COG
46,Costa_Rica,CRI
47,Cote_d'Ivoire,CIV
48,Croatia,HRV
49,Cuba,CUB
50,Curacao,CUW
51,Cyprus,CYP
52,Czech_Republic,CZE
53,Denmark,DNK
54,Djibouti,DJI
55,Dominica,DMA
56,Dominican_Republic,DOM
57,Ecuador,ECU
58,"Egypt,_Arab_Rep.",EGY
59,El_Salvador,SLV
60,Equatorial_Guinea,GNQ
61,Eritrea,ERI
62,Estonia,EST
63,Ethiopia,ETH
64,Faeroe_Islands,FRO
65,Fiji,FJI
66,Finland,FIN
67,France,FRA
68,French_Polynesia,PYF
69,Gabon,GAB
70,"Gambia,_The",GMB
71,Georgia,GEO
72,Germany,DEU
73,Ghana,GHA
74,Greece,GRC
75,Greenland,GRL
76,Grenada,GRD
77,Guam,GUM
78,Guatemala,GTM
79,Guinea,GIN
80,Guinea-Bissau,GNB
81,Guyana,GUY
82,Haiti,HTI
83,Honduras,HND
84,"Hong_Kong_SAR,_China",HKG
85,Hungary,HUN
86,Iceland,ISL
87,India,IND
88,Indonesia,IDN
89,"Iran,_Islamic_Rep.",IRN
90,Iraq,IRQ
91,Ireland,IRL
92,Isle_of_Man,IMN
93,Israel,ISR
94,Italy,ITA
95,Jamaica,JAM
96,Japan,JPN
97,Jordan,JOR
98,Kazakhstan,KAZ
99,Kenya,KEN
100,Kiribati,KIR
101,"Korea,_Dem._Rep.",PRK
102,"Korea,_Rep.",KOR
103,Kosovo,KOS
104,Kuwait,KWT
105,Kyrgyz_Republic,KGZ
106,Lao_PDR,LAO
107,Latvia,LVA
108,Lebanon,LBN
109,Lesotho,LSO
110,Liberia,LBR
111,Libya,LBY
112,Liechtenstein,LIE
113,Lithuania,LTU
114,Luxembourg,LUX
115,"Macao_SAR,_China",MAC
116,"Macedonia,_FYR",MKD
117,Madagascar,MDG
118,Malawi,MWI
119,Malaysia,MYS
120,Maldives,MDV
121,Mali,MLI
122,Malta,MLT
123,Marshall_Islands,MHL
124,Mauritania,MRT
125,Mauritius,MUS
126,Mexico,MEX
127,"Micronesia,_Fed._Sts.",FSM
128,Moldova,MDA
129,Monaco,MCO
130,Mongolia,MNG
131,Montenegro,MNE
132,Morocco,MAR
133,Mozambique,MOZ
134,Myanmar,MMR
135,Namibia,NAM
136,Nepal,NPL
137,Netherlands,NLD
138,New_Caledonia,NCL
139,New_Zealand,NZL
140,Nicaragua,NIC
141,Niger,NER
142,Nigeria,NGA
143,Northern_Mariana_Islands,MNP
144,Norway,NOR
145,Oman,OMN
146,Pakistan,PAK
147,Palau,PLW
148,Panama,PAN
149,Papua_New_Guinea,PNG
150,Paraguay,PRY
151,Peru,PER
152,Philippines,PHL
153,Poland,POL
154,Portugal,PRT
155,Puerto_Rico,PRI
156,Qatar,QAT
157,Romania,ROU
158,Russian_Federation,RUS
159,Rwanda,RWA
160,Samoa,WSM
161,San_Marino,SMR
162,Sao_Tome_and_Principe,STP
163,Saudi_Arabia,SAU
164,Senegal,SEN
165,Serbia,SRB
166,Seychelles,SYC
167,Sierra_Leone,SLE
168,Singapore,SGP
169,Sint_Maarten_(Dutch_part),SXM
170,Slovak_Republic,SVK
171,Slovenia,SVN
172,Solomon_Islands,SLB
173,Somalia,SOM
174,South_Africa,ZAF
175,South_Sudan,SSD
176,Spain,ESP
177,Sri_Lanka,LKA
178,St._Kitts_and_Nevis,KNA
179,St._Lucia,LCA
180,St._Martin_(French_part),MAF
181,St._Vincent_and_the_Grenadines,VCT
182,Sudan,SDN
183,Suriname,SUR
184,Swaziland,SWZ
185,Sweden,SWE
186,Switzerland,CHE
187,Syrian_Arab_Republic,SYR
188,Tajikistan,TJK
189,Tanzania,TZA
190,Thailand,THA
191,Timor-Leste,TLS
192,Togo,TGO
193,Tonga,TON
194,Trinidad_and_Tobago,TTO
195,Tunisia,TUN
196,Turkey,TUR
197,Turkmenistan,TKM
198,Turks_and_Caicos_Islands,TCA
199,Tuvalu,TUV
200,Uganda,UGA
201,Ukraine,UKR
202,United_Arab_Emirates,ARE
203,United_Kingdom,GBR
204,United_States,USA
205,Uruguay,URY
206,Uzbekistan,UZB
207,Vanuatu,VUT
208,"Venezuela,_RB",VEN
209,Vietnam,VNM
210,Virgin_Islands_(U.S.),VIR
211,West_Bank_and_Gaza,PSE
212,"Yemen,_Rep.",YEM
213,Zambia,ZMB
214,Zimbabwe,ZWE
215,Arab_World,ARB
216,Caribbean_small_states,CSS
217,East_Asia_&_Pacific_(all_income_levels),EAS
218,East_Asia_&_Pacific_(developing_only),EAP
219,Euro_area,EMU
220,Europe_&_Central_Asia_(all_income_levels),ECS
221,Europe_&_Central_Asia_(developing_only),ECA
222,European_Union,EUU
223,Heavily_indebted_poor_countries_(HIPC),HPC
224,High_income,HIC
225,High_income:_OECD,OEC
226,High_income:_nonOECD,NOC
227,Latin_America_&_Caribbean_(all_income_levels),LCN
228,Latin_America_&_Caribbean_(developing_only),LAC
229,Least_developed_countries:_UN_classification,LDC
230,Low_&_middle_income,LMY
231,Low_income,LIC
232,Lower_middle_income,LMC
233,Middle_East_&_North_Africa_(all_income_levels),MEA
234,Middle_East_&_North_Africa_(developing_only),MNA
235,Middle_income,CME
236,North_America,NAC
237,Not_classified,INX
238,OECD_members,OED
239,Other_small_states,OSS
240,Pacific_island_small_states,PSS
241,Small_states,SST
242,South_Asia,SAS
243,Sub-Saharan_Africa_(all_income_levels),SSF
244,Sub-Saharan_Africa_(developing_only),SSA
245,Upper_middle_income,UMC
246,World,WLD
 ,,WeEu
,,AFRICA
,,ALA
,,Americas
,,ANR
,,AIA
,,ATA
,,Ashm
,,ASIA
,,Australia and New Zealand
,,IOT
,,VGB
,,Central America
,,Central Asia
,,CEB
,,CHN
,,TWN
,,COK
,,CEA
,,Eastern Africa
,,Eastern Europe
,,Europe
,,CEU
,,EUU
,,FLK
,,FCS
,,GUF
,,ATF
,,Gaza
,,Guadeloupe
,,GGY
,,HMD
,,IOA
,,JEY
,,LLDC
,,LCR
,,CLA
,,LeDeR
,,LeDeREC
,,LeDeRELDR
,,LIFDC
,,Martinique
,,Mayotte
,,Melanesia
,,MCA
,,Micronesia
,,MAFR
,,MIC
,,MSR
,,MoDeR
,,CYN
,,NRU
,,NeFoIC
,,ANT
,,NIU
,,NFK
,,NAFR
,,NEUR
,,Oceania
,,PCN
,,POLYN
,,SGS
,,SHN
,,VCT
,,BLM
,,SPM
,,SRB
,,SOL
,,SouAm
,,SouEAs
,,CSA
,,SouCeAs
,,SCE
,,SouAfr
,,SouAs
, ,SouEur
,,CAA
,,VAT
,,ESH
,,WLF
,,WeAf
,,WeAs
,,FrePol
,,KAS
,,StKiN
,HIGHIN,HIGHIN
,SOTRLA,SOTRLA
,CEEAEU,CEEAEU
,CALACA,CALACA
,CANAME,CANAME
,ESEASP,ESEASP
,SUSAAF,SUSAAF
,SOASIA,SOASIA
